k,f,n,c,p,r,a,True_Favorable,Favorable_called_Intermediate,Favorable_called_Adverse,Intermediate_called_Favorable,True_Intermediate,Intermediate_called_Adverse,Adverse_called_Favorable,Adverse_called_Intermediate,True_Adverse,Number_of_tests
1,1,1,1,1,1,1,0.315,0,0,0,0.389,0,0,0,0.296,7
1,1,1,1,1,1,0,0.315,0,0,0,0.389,0,0,0.02,0.276,6
1,1,1,1,0,1,1,0.315,0,0,0,0.389,0,0.001,0.005,0.29,6
1,1,1,1,1,0,1,0.315,0,0,0,0.389,0,0,0.058,0.238,6
1,1,1,0,1,1,1,0.284,0.031,0,0,0.389,0,0,0,0.296,6
1,1,0,1,1,1,1,0.171,0.14,0.004,0,0.389,0,0,0,0.296,6
1,0,1,1,1,1,1,0.315,0,0,0.099,0.29,0,0.002,0,0.294,6
0,1,1,1,1,1,1,0.178,0.135,0.002,0.03,0.357,0.001,0.008,0.11,0.178,6
1,1,1,1,0,1,0,0.315,0,0,0,0.389,0,0.001,0.026,0.269,5
1,1,1,1,1,0,0,0.315,0,0,0,0.389,0,0,0.092,0.205,5
1,1,1,0,1,1,0,0.284,0.031,0,0,0.389,0,0,0.02,0.276,5
1,1,0,1,1,1,0,0.171,0.143,0.002,0,0.389,0,0,0.02,0.276,5
1,0,1,1,1,1,0,0.315,0,0,0.099,0.29,0,0.002,0.019,0.275,5
0,1,1,1,1,1,0,0.178,0.137,0,0.03,0.359,0,0.008,0.136,0.152,5
1,1,1,1,0,0,1,0.315,0,0,0,0.389,0,0.001,0.064,0.231,5
1,1,1,0,0,1,1,0.284,0.031,0,0,0.389,0,0.001,0.006,0.29,5
1,1,0,1,0,1,1,0.171,0.14,0.004,0,0.389,0,0.001,0.006,0.29,5
1,0,1,1,0,1,1,0.315,0,0,0.099,0.29,0,0.004,0.005,0.287,5
0,1,1,1,0,1,1,0.178,0.135,0.002,0.03,0.357,0.001,0.011,0.166,0.12,5
1,1,1,0,1,0,1,0.284,0.031,0,0,0.389,0,0,0.058,0.238,5
1,1,0,1,1,0,1,0.171,0.142,0.002,0,0.389,0,0,0.058,0.238,5
1,0,1,1,1,0,1,0.315,0,0,0.099,0.29,0,0.002,0.057,0.237,5
0,1,1,1,1,0,1,0.178,0.135,0.002,0.03,0.357,0.001,0.008,0.188,0.1,5
1,1,0,0,1,1,1,0.138,0.173,0.004,0,0.389,0,0,0,0.296,5
1,0,1,0,1,1,1,0.284,0.031,0,0.096,0.293,0,0.002,0,0.294,5
0,1,1,0,1,1,1,0.147,0.166,0.002,0.021,0.367,0.001,0.006,0.112,0.178,5
1,0,0,1,1,1,1,0.171,0.14,0.004,0.004,0.385,0,0,0,0.296,5
0,1,0,1,1,1,1,0.033,0.276,0.006,0.01,0.378,0.001,0.002,0.115,0.179,5
0,0,1,1,1,1,1,0.179,0.134,0.002,0.139,0.249,0.001,0.013,0.108,0.175,5
1,1,1,1,0,0,0,0.315,0,0,0,0.389,0,0.001,0.098,0.197,4
1,1,1,0,0,1,0,0.284,0.031,0,0,0.389,0,0.001,0.027,0.269,4
1,1,0,1,0,1,0,0.171,0.143,0.002,0,0.389,0,0.001,0.027,0.269,4
1,0,1,1,0,1,0,0.315,0,0,0.099,0.29,0,0.004,0.024,0.268,4
0,1,1,1,0,1,0,0.178,0.137,0,0.03,0.359,0,0.011,0.193,0.093,4
1,1,1,0,1,0,0,0.284,0.031,0,0,0.389,0,0,0.092,0.205,4
1,1,0,1,1,0,0,0.171,0.144,0,0,0.389,0,0,0.092,0.205,4
1,0,1,1,1,0,0,0.315,0,0,0.099,0.29,0,0.002,0.089,0.205,4
0,1,1,1,1,0,0,0.178,0.137,0,0.03,0.359,0,0.008,0.228,0.06,4
1,1,0,0,1,1,0,0.138,0.175,0.002,0,0.389,0,0,0.02,0.276,4
1,0,1,0,1,1,0,0.284,0.031,0,0.096,0.293,0,0.002,0.019,0.275,4
0,1,1,0,1,1,0,0.147,0.168,0,0.021,0.368,0,0.006,0.138,0.152,4
1,0,0,1,1,1,0,0.171,0.143,0.002,0.004,0.385,0,0,0.02,0.276,4
0,1,0,1,1,1,0,0.033,0.28,0.002,0.01,0.379,0,0.002,0.141,0.153,4
0,0,1,1,1,1,0,0.179,0.136,0,0.139,0.25,0,0.013,0.132,0.151,4
1,1,1,0,0,0,1,0.284,0.031,0,0,0.389,0,0.001,0.064,0.231,4
1,1,0,1,0,0,1,0.171,0.142,0.002,0,0.389,0,0.001,0.064,0.231,4
1,0,1,1,0,0,1,0.315,0,0,0.099,0.29,0,0.004,0.062,0.23,4
0,1,1,1,0,0,1,0.178,0.135,0.002,0.03,0.357,0.001,0.011,0.244,0.041,4
1,1,0,0,0,1,1,0.138,0.173,0.004,0,0.389,0,0,0.007,0.29,4
1,0,1,0,0,1,1,0.284,0.031,0,0.096,0.293,0,0.004,0.005,0.287,4
0,1,1,0,0,1,1,0.147,0.166,0.002,0.021,0.367,0.001,0.007,0.169,0.12,4
1,0,0,1,0,1,1,0.171,0.14,0.004,0.004,0.385,0,0.001,0.006,0.29,4
0,1,0,1,0,1,1,0.033,0.276,0.006,0.01,0.378,0.001,0.004,0.172,0.121,4
0,0,1,1,0,1,1,0.179,0.134,0.002,0.139,0.249,0.001,0.017,0.163,0.117,4
1,1,0,0,1,0,1,0.138,0.175,0.002,0,0.389,0,0,0.058,0.238,4
1,0,1,0,1,0,1,0.284,0.031,0,0.096,0.293,0,0.002,0.057,0.237,4
0,1,1,0,1,0,1,0.147,0.166,0.002,0.021,0.367,0.001,0.006,0.19,0.1,4
1,0,0,1,1,0,1,0.171,0.142,0.002,0.004,0.385,0,0,0.058,0.238,4
0,1,0,1,1,0,1,0.033,0.278,0.004,0.01,0.378,0.001,0.002,0.193,0.1,4
0,0,1,1,1,0,1,0.179,0.134,0.002,0.139,0.249,0.001,0.013,0.185,0.098,4
1,0,0,0,1,1,1,0.138,0.173,0.004,0,0.389,0,0,0,0.296,4
0,1,0,0,1,1,1,0,0.309,0.006,0,0.388,0.001,0,0.117,0.179,4
0,0,1,0,1,1,1,0.147,0.166,0.002,0.125,0.263,0.001,0.011,0.111,0.175,4
0,0,0,1,1,1,1,0.034,0.275,0.006,0.014,0.373,0.001,0.002,0.115,0.179,4
1,1,1,0,0,0,0,0.284,0.031,0,0,0.389,0,0.001,0.098,0.197,3
1,1,0,1,0,0,0,0.171,0.144,0,0,0.389,0,0.001,0.098,0.197,3
1,0,1,1,0,0,0,0.315,0,0,0.099,0.29,0,0.004,0.095,0.197,3
0,1,1,1,0,0,0,0.178,0.137,0,0.03,0.359,0,0.011,0.285,0,3
1,1,0,0,0,1,0,0.138,0.175,0.002,0,0.389,0,0,0.027,0.269,3
1,0,1,0,0,1,0,0.284,0.031,0,0.096,0.293,0,0.004,0.025,0.268,3
0,1,1,0,0,1,0,0.147,0.168,0,0.021,0.368,0,0.007,0.196,0.093,3
1,0,0,1,0,1,0,0.171,0.143,0.002,0.004,0.385,0,0.001,0.027,0.269,3
0,1,0,1,0,1,0,0.033,0.28,0.002,0.01,0.379,0,0.004,0.199,0.093,3
0,0,1,1,0,1,0,0.179,0.136,0,0.139,0.25,0,0.017,0.188,0.092,3
1,1,0,0,1,0,0,0.138,0.177,0,0,0.389,0,0,0.092,0.205,3
1,0,1,0,1,0,0,0.284,0.031,0,0.096,0.293,0,0.002,0.089,0.205,3
0,1,1,0,1,0,0,0.147,0.168,0,0.021,0.368,0,0.006,0.23,0.06,3
1,0,0,1,1,0,0,0.171,0.144,0,0.004,0.385,0,0,0.092,0.205,3
0,1,0,1,1,0,0,0.033,0.282,0,0.01,0.379,0,0.002,0.234,0.06,3
0,0,1,1,1,0,0,0.179,0.136,0,0.139,0.25,0,0.013,0.223,0.06,3
1,0,0,0,1,1,0,0.138,0.175,0.002,0,0.389,0,0,0.02,0.276,3
0,1,0,0,1,1,0,0,0.313,0.002,0,0.389,0,0,0.143,0.153,3
0,0,1,0,1,1,0,0.147,0.168,0,0.125,0.264,0,0.011,0.134,0.151,3
0,0,0,1,1,1,0,0.034,0.279,0.002,0.014,0.375,0,0.002,0.141,0.153,3
1,1,0,0,0,0,1,0.138,0.175,0.002,0,0.389,0,0,0.065,0.231,3
1,0,1,0,0,0,1,0.284,0.031,0,0.096,0.293,0,0.004,0.062,0.23,3
0,1,1,0,0,0,1,0.147,0.166,0.002,0.021,0.367,0.001,0.007,0.248,0.041,3
1,0,0,1,0,0,1,0.171,0.142,0.002,0.004,0.385,0,0.001,0.064,0.231,3
0,1,0,1,0,0,1,0.033,0.278,0.004,0.01,0.378,0.001,0.004,0.251,0.042,3
0,0,1,1,0,0,1,0.179,0.134,0.002,0.139,0.249,0.001,0.017,0.24,0.039,3
1,0,0,0,0,1,1,0.138,0.173,0.004,0,0.389,0,0,0.007,0.29,3
0,1,0,0,0,1,1,0,0.309,0.006,0,0.388,0.001,0,0.175,0.121,3
0,0,1,0,0,1,1,0.147,0.166,0.002,0.125,0.263,0.001,0.012,0.167,0.117,3
0,0,0,1,0,1,1,0.034,0.275,0.006,0.014,0.373,0.001,0.004,0.171,0.121,3
1,0,0,0,1,0,1,0.138,0.175,0.002,0,0.389,0,0,0.058,0.238,3
0,1,0,0,1,0,1,0,0.311,0.004,0,0.388,0.001,0,0.196,0.1,3
0,0,1,0,1,0,1,0.147,0.166,0.002,0.125,0.263,0.001,0.011,0.187,0.098,3
0,0,0,1,1,0,1,0.034,0.277,0.004,0.014,0.373,0.001,0.002,0.193,0.1,3
0,0,0,0,1,1,1,0,0.309,0.006,0,0.388,0.001,0,0.117,0.179,3
1,1,0,0,0,0,0,0.138,0.177,0,0,0.389,0,0,0.099,0.197,2
1,0,1,0,0,0,0,0.284,0.031,0,0.096,0.293,0,0.004,0.095,0.197,2
0,1,1,0,0,0,0,0.147,0.168,0,0.021,0.368,0,0.007,0.289,0,2
1,0,0,1,0,0,0,0.171,0.144,0,0.004,0.385,0,0.001,0.098,0.197,2
0,1,0,1,0,0,0,0.033,0.282,0,0.01,0.379,0,0.004,0.293,0,2
0,0,1,1,0,0,0,0.179,0.136,0,0.139,0.25,0,0.017,0.279,0,2
1,0,0,0,0,1,0,0.138,0.175,0.002,0,0.389,0,0,0.027,0.269,2
0,1,0,0,0,1,0,0,0.313,0.002,0,0.389,0,0,0.203,0.093,2
0,0,1,0,0,1,0,0.147,0.168,0,0.125,0.264,0,0.012,0.192,0.092,2
0,0,0,1,0,1,0,0.034,0.279,0.002,0.014,0.375,0,0.004,0.199,0.093,2
1,0,0,0,1,0,0,0.138,0.177,0,0,0.389,0,0,0.092,0.205,2
0,1,0,0,1,0,0,0,0.315,0,0,0.389,0,0,0.236,0.06,2
0,0,1,0,1,0,0,0.147,0.168,0,0.125,0.264,0,0.011,0.225,0.06,2
0,0,0,1,1,0,0,0.034,0.281,0,0.014,0.375,0,0.002,0.234,0.06,2
0,0,0,0,1,1,0,0,0.313,0.002,0,0.389,0,0,0.143,0.153,2
1,0,0,0,0,0,1,0.138,0.175,0.002,0,0.389,0,0,0.065,0.231,2
0,1,0,0,0,0,1,0,0.311,0.004,0,0.388,0.001,0,0.254,0.042,2
0,0,1,0,0,0,1,0.147,0.166,0.002,0.125,0.263,0.001,0.012,0.244,0.039,2
0,0,0,1,0,0,1,0.034,0.277,0.004,0.014,0.373,0.001,0.004,0.25,0.042,2
0,0,0,0,0,1,1,0,0.309,0.006,0,0.388,0.001,0,0.175,0.121,2
0,0,0,0,1,0,1,0,0.311,0.004,0,0.388,0.001,0,0.196,0.1,2
1,0,0,0,0,0,0,0.138,0.177,0,0,0.389,0,0,0.099,0.197,1
0,1,0,0,0,0,0,0,0.315,0,0,0.389,0,0,0.296,0,1
0,0,1,0,0,0,0,0.147,0.168,0,0.125,0.264,0,0.012,0.284,0,1
0,0,0,1,0,0,0,0.034,0.281,0,0.014,0.375,0,0.004,0.292,0,1
0,0,0,0,0,1,0,0,0.313,0.002,0,0.389,0,0,0.203,0.093,1
0,0,0,0,1,0,0,0,0.315,0,0,0.389,0,0,0.236,0.06,1
0,0,0,0,0,0,1,0,0.311,0.004,0,0.388,0.001,0,0.254,0.042,1
0,0,0,0,0,0,0,0,0.315,0,0,0.389,0,0,0.296,0,0
